id,weight,payoutMultiplier
1,32,0
2,1,2.4
3,33,0.91
4,32,0
5,33,0.18
6,32,0.36
7,33,0
8,32,0.8
9,33,0.68
10,32,0
11,33,0.19
12,32,0
13,33,0.11
14,32,0
15,33,0
16,32,0
17,33,0
18,32,0.54
19,33,0
20,32,0.64
21,33,0
22,32,0
23,1,2.8
24,33,0
25,32,0
26,33,0
27,1,625.05
28,32,0
29,33,0.1
30,32,0
31,33,0
32,32,0
33,1,59.87
34,33,0.53
35,1,2.6
36,1,2.28
37,32,0
38,33,0
39,32,0
40,33,0.2
41,32,0
42,1,2.66
43,33,0.1
44,32,0
45,33,0
46,32,0
47,33,0.16
48,32,0
49,1,4.48
50,33,0
51,32,0
52,33,0
53,33,0
54,32,0.6
55,33,0.72
56,32,0.18
57,1,3.2
58,1,2.4
59,33,0
60,32,0
61,33,0
62,32,0.48
63,33,0.26
64,32,0
65,33,0.12
66,1,4.61
67,32,0
68,33,0.17
69,32,0
70,33,0.5
71,32,0
72,33,0
73,32,0
74,1,1.12
75,33,0.91
76,1,5.96
77,1,991.78
78,1,1
79,32,0
80,1,1.12
81,33,0.08
82,32,0
83,33,0
84,32,0.8
85,33,0.16
86,32,0
87,33,0.09
88,32,0.16
89,33,0.74
90,1,2
91,32,0
92,33,0.14
93,32,0
94,1,157.85
95,33,0
96,1,3.36
97,32,0
98,33,0.22
99,32,0
100,1,1.4
101,33,0
102,32,0.84
103,1,2.31
104,33,0
105,32,0
106,33,0
107,32,0.42
108,33,0
109,33,0.08
110,32,0.62
111,33,0.4
112,32,0
113,33,0
114,32,0
115,33,0.8
116,32,0
117,33,0.59
118,32,0.96
119,33,0
120,1,1.12
121,1,2.23
122,32,0.16
123,33,0.56
124,32,0.89
125,1,411.44
126,33,0.41
127,32,0.21
128,33,0.18
129,32,0.22
130,33,0
131,1,1.36
132,1,149.59
133,32,0
134,33,0.32
135,32,0.08
136,33,0
137,1,1.92
138,32,0
139,33,0
140,32,0.16
141,33,0
142,32,0.26
143,33,0
144,32,0.1
145,33,0
146,1,202.76
147,32,0
148,33,0
149,1,2.15
150,1,1.12
151,32,0
152,33,0.1
153,1,599.42
154,32,0
155,1,2
156,33,0.32
157,32,0
158,1,4.24
159,1,1.44
160,33,0
161,32,0
162,1,1.92
163,1,2.56
164,33,0
165,32,0.18
166,33,0.22
167,1,2.22
168,32,0.18
169,1,1.68
170,1,61.14
171,33,0
172,33,0.13
173,32,0
174,33,0
175,32,0
176,33,0.18
177,32,0
178,33,0.36
179,32,0.39
180,33,0
181,32,0.18
182,1,1.28
183,33,0
184,32,0
185,33,0
186,32,0
187,33,0
188,1,1.1
189,32,0
190,33,0.21
191,32,0.22
192,33,0
193,32,0.09
194,33,0.44
195,1,1.16
196,32,0
197,33,0
198,32,0.8
199,33,0
200,32,0.48
201,33,0
202,32,0
203,33,0
204,32,0.31
205,1,1.3
206,33,0
207,32,0.39
208,33,0
209,32,0
210,33,0
211,32,0
212,1,2.88
213,33,0.41
214,32,0
215,33,0.11
216,1,1.01
217,32,0
218,33,0
219,32,0.06
220,1,344.8
221,33,0
222,1,528.95
223,33,0.3
224,32,0.16
225,33,0.36
226,32,0
227,1,1411.76
228,33,0
229,32,0
230,33,0.83
231,32,0
232,1,1.12
233,33,0.1
234,1,3
235,32,0
236,1,1.9
237,33,0
238,32,0
239,33,0
240,32,0
241,33,0
242,32,0.35
243,33,0
244,32,0
245,33,0
246,1,592.62
247,32,0
248,33,0
249,32,0
250,33,0.29
251,32,0
