id,weight,payoutMultiplier
1,1,165.82
2,1,142.53
3,6,92.04
4,1,239.53
5,7,19.86
6,1,189.67
7,1,125.6
8,1,1239.72
9,1,219.26
10,7,40.96
11,7,50.16
12,1,559.52
13,1,221.38
14,7,22.4
15,1,229.72
16,7,37.23
17,1,623.02
18,7,74.16
19,1,380.42
20,7,45.47
21,1,647.67
22,7,69.01
23,1,216.73
24,7,15.95
25,7,38.67
26,1,756.87
27,1,570.81
28,1,297.17
29,1,99.08
30,1,392.67
31,7,24.58
32,1,151.79
33,1,354.92
34,1,472.27
35,1,440.53
36,7,22.2
37,7,40.49
38,1,119.42
39,7,56.14
40,7,27.89
41,1,234.47
42,6,29.83
43,1,195.94
44,1,587.45
45,7,16.91
46,1,214.71
47,1,234.76
48,7,67.57
49,1,190.26
50,1,102.21
51,7,7.74
52,1,202.43
53,7,44.15
54,1,115.55
55,1,104.85
56,1,655.45
57,1,307.76
58,1,102.65
59,1,571.08
60,1,1476.36
61,1,242.44
62,7,93.23
63,1,115.54
64,1,163.54
65,7,61.26
66,1,346.55
67,7,12.18
68,7,4.28
69,7,48.11
70,1,524.17
71,7,38.54
72,1,216.38
73,1,298.23
74,7,1.55
75,1,177.88
76,7,5.38
77,1,425.37
78,1,171.27
79,1,168.56
80,1,204.29
81,1,132.34
82,7,43.6
83,1,160.32
84,1,255.93
85,1,508.81
86,1,136.28
87,7,89.83
88,1,440.01
89,7,15.76
90,7,33.78
91,1,100.3
92,6,32.17
93,7,67.81
94,7,27.86
95,1,311.85
96,1,561.13
97,7,69.57
98,1,99.84
99,7,19.8
100,1,164
101,1,113.17
102,7,3.91
103,7,7.49
104,1,136.33
105,1,325.83
106,1,1077.09
107,7,33.38
108,1,1003.89
109,7,43.56
110,7,72.83
111,1,103.58
112,7,56.42
113,7,21.85
114,1,161.63
115,7,23.28
116,1,260.77
117,1,239.82
118,7,17.71
119,7,31.78
120,1,274.13
121,7,18.4
122,7,48.81
123,1,974.49
124,6,44.22
125,7,23.77
126,1,118.71
127,1,233.89
128,1,407.17
129,7,17.73
130,7,38.89
131,1,225.02
132,1,409.02
133,7,14.01
134,7,43.48
135,1,155.04
136,7,42.41
137,1,156.93
138,7,63.37
139,7,69.63
140,7,40.84
141,7,53.49
142,1,301.22
143,7,92.97
144,1,338.42
145,1,901
146,7,24.96
147,7,36.37
148,1,357.56
149,1,124
150,1,721.13
151,1,851.66
152,7,60.19
153,7,28.25
154,7,22.46
155,1,169.03
156,6,75.13
157,7,63.71
158,7,27.08
159,1,199.71
160,7,18.91
161,7,67.34
162,7,24.97
163,1,1537.3
164,7,77.03
165,7,12.01
166,1,122.76
167,7,80.88
168,7,53.28
169,1,325.51
170,1,890.17
171,1,1046.82
172,7,88.78
173,7,86.08
174,1,139.84
175,1,700.51
176,1,133.02
177,1,142.97
