id,weight,payoutMultiplier
1,1,3.32
2,1,1.25
3,1,3.6
4,1,1.25
5,1,19.44
6,1,36.54
7,1,17.78
8,1,4.9
9,1,0
10,1,48.4
11,1,43.36
12,1,13.1
13,1,29.55
14,1,1.44
15,1,0
16,1,61.14
17,1,20.43
18,1,9.75
19,1,0.88
20,1,3.4
21,1,4.02
22,1,0
23,1,15.35
24,1,2
25,1,0.32
26,1,0
27,1,7.5
28,1,10.8
29,1,0
30,1,67.5
31,1,0
32,1,0
33,1,4.8
34,1,1.96
35,1,33.4
36,1,6.3
37,1,4.8
38,1,0
39,1,2.95
40,1,7
41,1,61
42,1,1.25
43,1,46.5
44,1,0.54
45,1,14.4
46,1,19.6
47,1,0
48,1,3.83
49,1,10.78
50,1,6.9
51,1,25.76
52,1,17.07
53,1,1.08
54,1,24
55,1,1.5
56,1,39.6
57,1,2
58,1,27
59,1,55.58
60,1,0.45
61,1,1.32
62,1,4.38
63,1,4.9
64,1,25.1
65,1,1.44
66,1,0
67,1,2.82
68,1,3.84
69,1,50.05
70,1,0
71,1,0
72,1,4.4
73,1,16.24
74,1,0
75,1,0.4
76,1,1.92
77,1,0.66
78,1,0
79,1,3.78
80,1,6.25
81,1,0
82,1,0
83,1,0
84,1,0
85,1,0
86,1,0
87,1,0.63
88,1,24
89,1,31.2
90,1,0
91,1,16.44
92,1,2.52
93,1,5.03
94,1,5.74
95,1,0
96,1,0
97,1,8.4
98,1,5.32
99,1,5.45
100,1,0
101,1,2.88
102,1,1.56
103,1,6.88
104,1,0
105,1,5.32
106,1,2.08
107,1,5
108,1,0
109,1,18
110,1,21.8
111,1,44.8
112,1,0
113,1,1.44
114,1,0.96
115,1,9
116,1,3.48
117,1,1.5
118,1,86.04
119,1,0.55
120,1,0
121,1,12.8
122,1,3.75
123,1,0
124,1,0
125,1,19.5
126,1,111.84
127,1,0
128,1,0.32
129,1,7.61
130,1,30.06
131,1,0
132,1,0
133,1,4.38
134,1,26.4
135,1,4.62
136,1,0.28
137,1,8.8
138,1,0.45
139,1,0
140,1,4.2
141,1,3.5
142,1,0
143,1,0
144,1,216.24
145,1,10.8
146,1,5.28
147,1,3.75
148,1,11.85
149,1,10.56
150,1,0.4
151,1,7.18
152,1,1.05
153,1,16.45
154,1,72
155,1,0
156,1,65.7
157,1,0
158,1,13.32
159,1,6
160,1,7.35
161,1,0
162,1,69
163,1,8.19
164,1,32.45
165,1,0
166,1,2.7
167,1,1.08
168,1,1.82
169,1,6.6
170,1,0
171,1,2.4
172,1,0.88
173,1,40.5
174,1,7.56
175,1,37.8
176,1,4.96
177,1,14.88
178,1,1.2
179,1,0
180,1,5.4
181,1,2.64
182,1,0.75
183,1,4.62
184,1,0
185,1,15.05
186,1,0
187,1,1.4
188,1,13.27
189,1,25.2
190,1,136
191,1,14.4
192,1,8
193,1,0
194,1,16.5
195,1,5.5
196,1,63
197,1,0.72
198,1,6.4
199,1,0
200,1,14.4
201,1,3.75
202,1,2.64
203,1,0
204,1,2.87
205,1,9.3
206,1,18.45
207,1,2.69
208,1,0
209,1,0.6
210,1,0
211,1,0.8
212,1,0.84
213,1,2.4
214,1,30.8
215,1,0.96
216,1,6.51
217,1,0.9
218,1,4.5
219,1,12
220,1,2.4
221,1,6
222,1,2.52
223,1,1.5
224,1,60.9
225,1,21.6
226,1,0
227,1,44.4
228,1,4.08
229,1,4.52
230,1,6
231,1,0.6
232,1,1.08
233,1,6.75
234,1,7
235,1,0
236,1,6
237,1,0
238,1,8.4
239,1,0.28
240,1,8.54
241,1,4.2
242,1,10.11
243,1,7.26
244,1,0
245,1,2.25
246,1,1.08
247,1,6.16
248,1,1.08
249,1,10.8
250,1,0.5
251,1,7.85
252,1,1.2
253,1,6.18
254,1,2.95
255,1,0
