id,weight,payoutMultiplier
1,1,16.6
2,1,25.26
3,1,24.75
4,1,21.23
5,1,16.62
6,1,20.2
7,1,0.24
8,1,28.29
9,1,24.96
10,1,60.7
11,1,12.26
12,1,20.16
13,1,5.6
14,1,16.5
15,1,28.24
16,1,28.02
17,1,30.7
18,1,6.19
19,1,8.38
20,1,32.01
21,1,24.48
22,1,42.73
23,1,18.81
24,1,9.74
25,1,22.74
26,1,19.57
27,1,37.04
28,1,18.46
29,1,40.72
30,1,16.92
31,1,16
32,1,24.36
33,1,8.48
34,1,17.55
35,1,26.22
36,1,29.84
37,1,8.9
38,1,21.7
39,1,21.24
40,1,13.68
41,1,18.91
42,1,11.99
43,1,30.19
44,1,33.82
45,1,12.64
46,1,13.02
47,1,13.86
48,1,9.03
49,1,24.71
50,1,21.64
51,1,16.6
52,1,28.4
53,1,32.54
54,1,12
55,1,29.4
56,1,38.12
57,1,20.12
58,1,13.47
59,1,21.02
60,1,33.35
61,1,13.04
62,1,29.89
63,1,12.23
64,1,24.36
65,1,28.73
66,1,16.29
67,1,27.39
68,1,16.46
69,1,19.18
70,1,33.4
71,1,18.52
72,1,21.87
73,1,26.4
74,1,29.3
75,1,15.14
76,1,24
77,1,37.64
78,1,27.02
79,1,15.13
80,1,10.84
81,1,10.08
82,1,21.74
83,1,36.35
84,1,24
85,1,34.88
86,1,33.01
87,1,12.88
88,1,30.11
89,1,34.75
90,1,32.55
91,1,33.28
92,1,8.16
93,1,12.19
94,1,4.8
95,1,8.08
96,1,22.32
97,1,12
98,1,23.73
99,1,86.79
100,1,20.86
101,1,34.26
102,1,17.04
103,1,18.91
104,1,13.02
105,1,15.12
106,1,38.8
107,1,14.56
108,1,17.08
109,1,36.14
110,1,18.39
111,1,16.68
112,1,32.34
113,1,43.98
114,1,21.7
115,1,21.35
116,1,4.29
117,1,9.01
118,1,21.17
119,1,23.41
120,1,24.7
121,1,23.56
122,1,20.29
123,1,13.93
124,1,9.62
125,1,24.08
126,1,32.36
127,1,20.82
128,1,21.65
129,1,8.59
130,1,53.8
131,1,31.63
132,1,33.56
133,1,4.75
134,1,26.41
135,1,20
136,1,14.36
137,1,25.45
138,1,13.92
139,1,29.25
140,1,19.92
141,1,10.3
142,1,20.37
143,1,32.27
144,1,22.34
145,1,11.29
146,1,20.16
147,1,11.67
148,1,9.45
149,1,14.29
150,1,37.88
151,1,24.78
152,1,28.6
153,1,8.98
154,1,18.92
155,1,11.23
156,1,5.8
157,1,23.86
158,1,8.6
159,1,25.22
160,1,4.56
161,1,8.68
162,1,20.16
163,1,7.8
164,1,25.04
165,1,32.16
166,1,19.79
167,1,6.34
168,1,32.3
169,1,8
170,1,26.78
171,1,27.5
172,1,5.32
173,1,12.93
174,1,1.18
175,1,33.4
176,1,12
177,1,13.93
178,1,8.2
179,1,17.12
180,1,19.49
181,1,20.94
182,1,20
183,1,31.76
184,1,37.4
185,1,14.06
186,1,16
187,1,12.89
188,1,5
189,1,38.29
190,1,16
191,1,24.29
192,1,70.71
193,1,32.36
194,1,25.08
195,1,16.94
196,1,13.94
197,1,17.65
198,1,5.75
199,1,53.7
200,1,20.25
201,1,24.78
202,1,28.89
203,1,28.72
204,1,12.06
205,1,18.64
206,1,25.08
207,1,12
208,1,15.73
209,1,60.98
210,1,15.72
211,1,25.78
