id,weight,payoutMultiplier
1,6,231.44
2,1,305.69
3,1,795.08
4,6,240.17
5,1,370.65
6,1,428.53
7,1,378
8,7,122.54
9,6,59.45
10,1,889.02
11,1,467.85
12,7,157.33
13,1,362.7
14,1,711.03
15,1,886.48
16,6,25.84
17,7,201.11
18,6,47.75
19,7,69.48
20,6,213.37
21,7,164.78
22,6,27.86
23,1,467.88
24,1,573.29
25,7,65.57
26,1,244.17
27,1,573.36
28,1,275.39
29,1,508.49
30,6,126.57
31,1,252.05
32,1,1363.22
33,1,313.84
34,1,251.88
35,1,820.14
36,1,631.19
37,7,134.65
38,1,668
39,1,261.89
40,6,66.21
41,1,354.98
42,1,428.7
43,6,210.53
44,7,84.73
45,6,130.86
46,7,219.73
47,1,369.04
48,6,149.05
49,1,701.28
50,1,285.84
51,7,226.03
52,6,90.2
53,1,283.25
54,1,640.34
55,1,449.59
56,1,743.18
57,1,453.83
58,7,229.2
59,6,178.42
60,1,516.75
61,1,573.27
62,1,822.92
63,1,253.37
64,1,818.18
65,1,505.52
66,1,784.03
67,1,314.11
68,1,548.32
69,1,463.26
70,1,450.38
71,1,1933.08
72,7,116.09
73,6,209.36
74,1,441.69
75,7,168.67
76,1,1280.36
77,1,647.32
78,1,978.9
79,1,594.61
80,1,1234.84
81,6,181.7
82,1,485.17
83,7,233.7
84,6,193.56
85,1,671.27
86,6,239.17
87,7,104.99
88,1,305.01
89,1,339.2
90,1,2458.2
91,1,1327.23
92,1,2421.25
93,1,647.72
94,1,415.11
95,6,100.4
96,1,482.28
97,7,124.71
98,1,1148.04
99,6,116.46
100,1,1125
101,7,166.76
102,1,1030.3
103,1,1770.52
104,1,398.29
105,1,732.59
106,1,448.25
107,1,760.41
108,1,911.89
109,1,273.19
110,1,418.82
111,6,150.42
112,1,311.6
113,7,88.43
114,1,403.32
115,1,293.05
116,6,174.6
117,1,326.17
118,7,53.15
119,1,241.11
120,1,682.18
121,1,803
122,1,275.86
123,1,668.78
124,1,633.36
125,1,284.79
126,6,118.69
127,1,1395.23
128,7,232.52
129,1,786.75
130,6,53.71
131,1,294.33
132,1,981.01
133,1,278.22
134,7,109.31
135,1,275.47
136,1,639.25
137,6,228.76
138,1,418.22
139,7,145.86
140,1,310.8
141,1,460.05
142,6,222.88
143,6,235.24
144,1,935.24
145,1,312.47
146,7,157.32
147,6,240.16
148,7,181.4
149,6,122.36
150,7,179.38
151,1,880.76
152,1,439.54
153,1,948.24
154,1,788.86
155,1,553.37
156,1,358.55
157,1,424.99
158,1,1175.14
159,1,1025.02
160,6,240.39
161,1,843.94
162,1,302.72
163,1,525.43
164,1,2061.76
165,7,194.34
166,1,370.64
167,1,1170.6
168,1,415.6
169,1,345.23
170,6,46.31
171,1,562.42
172,1,545.05
173,1,280.41
174,1,262.94
175,1,372.17
176,7,15.87
177,1,1577.94
178,1,654.69
179,1,664.62
180,1,459.96
181,6,175
182,7,172.98
183,1,275.79
184,6,228.8
185,1,306.82
